course,discounted_price,original_price,category,summary,difficulty,total_materials,course_link
e-Dabu BPJS Kesehatan: Panduan Lengkap dan Simulasi,$49.00,$350.00,HR & Payroll,Pelajari penggunaan e-Dabu untuk kemudahan pengelolaan data BPJS Kesehatan bagi perusahaan Anda,Intermediate,18 Materi Pembelajaran,https://univ.mekari.com/courses/edabu-bpjs-kesehatan
Cash Flow Management,Gratis,"$1,000.00",Akuntansi & Keuangan,Kelola arus kas perusahaan dengan tepat untuk pertumbuhan dan kelangsungan usaha yang lebih baik,Intermediate,56 Materi Pembelajaran,https://univ.mekari.com/courses/cash-flow-management
Cara Lapor Pajak Penghasilan (PPh) Pribadi dan Badan secara Online: Panduan Lengkap & Simulasi,Gratis,$500.00,Pajak & Regulasi,"Pahami tata cara dan praktik pelaporan pajak yang lebih mudah secara online maupun PJAP seperti Klikpajak
",Intermediate,21 Materi Pembelajaran,https://univ.mekari.com/courses/cara-lapor-pajak-penghasilan-pph-pribadi-dan-badan-secara-online-panduan-lengkap-simulasi
Basic Concept of Leadership,$49.00,$350.00,HR & Payroll,Pelajari pengetahuan dasar mengenai kepemimpinan untuk menjadi seorang pemimpin yang berkarakter,Basic,14 Materi Pembelajaran,https://univ.mekari.com/courses/basic-concept-of-leadership
SWOT Analysis: A Powerful Tool for Competitive Business Strategy,$49.00,$350.00,Bisnis & Wirausaha,Kuasai penerapan analisis SWOT sebagai strategi jitu dan efektif untuk meningkatkan kualitas bisnis Anda,Intermediate,14 Materi Pembelajaran,https://univ.mekari.com/courses/swot-analysis-a-powerful-tool-for-competitive-business-strategy
Effective Performance Management for Employee,$49.00,$350.00,HR & Payroll,Tingkatkan produktivitas bisnis secara maksimal dengan manajemen performa karyawan yang lebih efektif,Basic,14 Materi Pembelajaran,https://univ.mekari.com/courses/effective-performance-management-for-employee
Sourcing Strategy: Tahap Fundamental dalam Proses Rekrutmen & Seleksi Karyawan,$49.00,$200.00,HR & Payroll,Pahami tahap pembuatan sourcing strategy serta cara tepat seleksi karyawan untuk proses rekrutmen yang lebih efektif,Intermediate,13 Materi Pembelajaran,https://univ.mekari.com/courses/sourcing-strategy-dalam-proses-rekrutmen-seleksi-karyawan
e-SPT PPh 21/26: Panduan Lengkap & Simulasi,Gratis,$350.00,Pajak & Regulasi,Pahami penggunaan aplikasinya untuk pembuatan SPT dan pelaporan pajak penghasilan pasal 21/26 yang lebih mudah,Intermediate,21 Materi Pembelajaran,https://univ.mekari.com/courses/e-spt-pph-21-26-panduan-lengkap-simulasi
e-SPT PPh Badan: Panduan Lengkap & Simulasi,Gratis,$350.00,Pajak & Regulasi,Pahami penggunaan aplikasinya untuk pembuatan SPT dan pelaporan pajak penghasilan badan yang lebih mudah,Intermediate,20 Materi Pembelajaran,https://univ.mekari.com/courses/e-spt-pph-badan-panduan-lengkap-simulasi
Goal Setting with SMARTER Method,$49.00,$350.00,Bisnis & Wirausaha,Pahami teknik dan penerapan penyusunan target dengan metode yang tepat untuk meraih impian dengan lebih cepat,Basic,11 Materi Pembelajaran,https://univ.mekari.com/courses/goal-setting-with-smarter-method
Inventory Management: How to Minimize The Cost,$59.00,$500.00,Akuntansi & Keuangan,Pahami cara tepat mengelola stok dengan biaya minim untuk mencapai kelancaran bisnis yang lebih baik,Basic,17 Materi Pembelajaran,https://univ.mekari.com/courses/inventory-management-how-to-minimize-the-cost
Basic Concept of Financial Accounting,$59.00,$500.00,Akuntansi & Keuangan,Pahami konsep dasar akuntansi dan praktiknya untuk keputusan keuangan yang terbaik,Basic,29 Materi Pembelajaran,https://univ.mekari.com/courses/basic-concept-of-financial-accounting
